epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,944.41,2.38997,3.47448,1.79772,0.99433,0.02278,0.16377,0.06932,1.89916,3.65514,1.4344,0.0704286,0.00328571,0.00328571
2,1860.45,2.19304,2.48906,1.59917,0.56223,0.19546,0.20175,0.10222,2.07463,3.33841,1.58398,0.040363,0.00655352,0.00655352
3,2863.1,2.14779,2.21553,1.59851,0.53812,0.2632,0.24299,0.11397,2.10689,2.84042,1.64733,0.0102315,0.00975532,0.00975532
4,3714.89,2.14061,2.11372,1.58726,0.46808,0.12331,0.08885,0.04028,2.22684,7.11953,1.6884,0.009703,0.009703,0.009703
5,4533.12,2.11446,2.03925,1.58273,0.79084,0.22719,0.23178,0.11167,2.33527,2.78864,1.80112,0.009604,0.009604,0.009604
6,5303.06,2.09697,1.94241,1.55849,0.44516,0.24279,0.19478,0.07871,2.21008,5.51125,1.74657,0.009505,0.009505,0.009505
7,6084.33,2.07216,1.88667,1.55326,0.35796,0.29303,0.31134,0.14759,2.1291,2.203,1.69233,0.009406,0.009406,0.009406
8,8473.28,2.11523,1.87169,1.56697,0.59671,0.27958,0.2682,0.1164,2.15594,2.6371,1.65635,0.009307,0.009307,0.009307
9,9846.28,2.04766,1.79407,1.52685,0.6153,0.25699,0.28604,0.13603,2.19209,2.46634,1.69885,0.009208,0.009208,0.009208
10,981.531,2.05562,1.79582,1.53867,0.88053,0.18392,0.23855,0.11295,2.21482,2.81509,1.72534,0.009109,0.009109,0.009109
11,1871.9,2.04192,1.74899,1.51823,0.50864,0.29938,0.31218,0.14786,2.10878,1.98696,1.61164,0.00901,0.00901,0.00901
12,3026.52,2.01222,1.72382,1.52236,0.55855,0.25623,0.29423,0.13912,2.14721,2.69202,1.63008,0.008911,0.008911,0.008911
13,4086.14,1.98458,1.65658,1.50578,0.35889,0.30164,0.2978,0.15046,2.09243,2.2221,1.57936,0.008812,0.008812,0.008812
14,4972.22,1.98414,1.646,1.49542,0.8454,0.25537,0.3099,0.15173,2.0345,2.02231,1.5522,0.008713,0.008713,0.008713
15,5937.59,1.96496,1.61437,1.47829,0.7232,0.29516,0.35,0.16376,2.06094,2.04455,1.59866,0.008614,0.008614,0.008614
16,6947.14,1.93401,1.58497,1.46861,0.65978,0.26612,0.32115,0.14953,2.16655,1.96599,1.67531,0.008515,0.008515,0.008515
17,7935.35,1.97207,1.60879,1.47756,0.56281,0.23788,0.26523,0.1109,2.20827,2.27744,1.67827,0.008416,0.008416,0.008416
18,8902.14,1.92653,1.55377,1.45185,0.42002,0.32299,0.35087,0.16506,2.06985,1.93237,1.60716,0.008317,0.008317,0.008317
19,9885.32,1.9574,1.55865,1.47933,0.58086,0.28734,0.32768,0.15645,2.0715,2.31216,1.61318,0.008218,0.008218,0.008218
20,10914.3,1.96209,1.56032,1.47175,0.3921,0.32038,0.33599,0.15349,2.14287,1.77285,1.62255,0.008119,0.008119,0.008119
21,11890.5,1.95684,1.54556,1.46993,0.3392,0.33363,0.33334,0.16209,2.10564,1.81819,1.5638,0.00802,0.00802,0.00802
22,12892.9,1.95222,1.54466,1.48195,0.60953,0.28046,0.32877,0.15781,2.04808,1.89702,1.60282,0.007921,0.007921,0.007921
23,13864,1.94068,1.51041,1.46581,0.30609,0.30274,0.33315,0.15517,2.07973,1.84733,1.58411,0.007822,0.007822,0.007822
24,14878.1,1.91996,1.5163,1.45776,0.30507,0.39057,0.33798,0.16072,1.94585,1.94932,1.4975,0.007723,0.007723,0.007723
25,15802.9,1.96507,1.53517,1.47636,0.30199,0.32406,0.31912,0.16219,2.07283,2.18527,1.57366,0.007624,0.007624,0.007624
26,16641.5,1.92187,1.49524,1.45829,0.61595,0.25993,0.33694,0.15788,2.07246,1.89842,1.55443,0.007525,0.007525,0.007525
27,17425.2,1.91465,1.47777,1.45008,0.60705,0.29167,0.36005,0.17573,2.11634,1.89495,1.58961,0.007426,0.007426,0.007426
28,18223.3,1.92844,1.49783,1.45364,0.64395,0.30188,0.34356,0.16543,2.04247,1.92108,1.56141,0.007327,0.007327,0.007327
29,19059.7,1.90856,1.48746,1.44877,0.81485,0.32435,0.3682,0.17232,2.01067,1.79395,1.55413,0.007228,0.007228,0.007228
30,19889.6,1.89371,1.45004,1.43976,0.39935,0.40768,0.39143,0.17796,2.09167,1.72189,1.60844,0.007129,0.007129,0.007129
31,20678.5,1.90808,1.47221,1.44521,0.52112,0.327,0.40029,0.18595,2.0149,1.68791,1.55087,0.00703,0.00703,0.00703
32,21497.2,1.87867,1.44344,1.43695,0.66536,0.33795,0.38712,0.18595,2.01696,1.80758,1.56229,0.006931,0.006931,0.006931
33,22297.6,1.88829,1.43901,1.43296,0.46535,0.36741,0.38124,0.18656,2.07048,1.71427,1.57529,0.006832,0.006832,0.006832
34,23079.6,1.87328,1.42728,1.4254,0.71013,0.36098,0.41466,0.19655,2.05619,1.65615,1.58139,0.006733,0.006733,0.006733
35,23862.3,1.86431,1.38826,1.41435,0.69459,0.30309,0.38062,0.18124,2.08285,1.8052,1.60133,0.006634,0.006634,0.006634
36,24715.4,1.87068,1.40639,1.41835,0.61847,0.36845,0.36612,0.17424,2.02242,1.87361,1.53691,0.006535,0.006535,0.006535
37,25729.9,1.84895,1.39086,1.41289,0.64668,0.3518,0.40786,0.19749,2.01899,1.74993,1.57551,0.006436,0.006436,0.006436
38,26608.6,1.88497,1.41531,1.43679,0.56864,0.33822,0.39233,0.18831,2.01168,1.60771,1.56066,0.006337,0.006337,0.006337
39,27352.6,1.84385,1.36503,1.40243,0.47929,0.34328,0.35787,0.17232,2.03275,2.10586,1.55244,0.006238,0.006238,0.006238
40,28091.1,1.86402,1.39777,1.42466,0.72795,0.30596,0.38158,0.18449,2.0782,1.74074,1.5846,0.006139,0.006139,0.006139
41,28828.5,1.87811,1.39966,1.42364,0.64684,0.33978,0.36279,0.16741,2.09636,1.70069,1.62949,0.00604,0.00604,0.00604
42,29556.7,1.84011,1.37738,1.4009,0.70238,0.347,0.37634,0.1686,2.05788,1.76934,1.59089,0.005941,0.005941,0.005941
43,30287.1,1.84008,1.36162,1.40456,0.54905,0.32779,0.37455,0.1829,2.05883,1.69205,1.59273,0.005842,0.005842,0.005842
44,31044.9,1.85515,1.34587,1.39566,0.50579,0.34122,0.40043,0.19176,2.00579,1.67347,1.53182,0.005743,0.005743,0.005743
45,31769.7,1.83553,1.36138,1.39866,0.47521,0.40944,0.42135,0.20424,1.97594,1.63306,1.51371,0.005644,0.005644,0.005644
46,32492.2,1.83774,1.35387,1.40869,0.46652,0.38474,0.38631,0.17083,2.10563,1.78558,1.58576,0.005545,0.005545,0.005545
47,33184.9,1.82095,1.3359,1.39496,0.54231,0.37294,0.37375,0.17472,2.06916,1.92726,1.57358,0.005446,0.005446,0.005446
48,33903.4,1.82935,1.3324,1.39067,0.46425,0.37389,0.38487,0.18005,2.04384,1.65026,1.56014,0.005347,0.005347,0.005347
49,34596,1.83265,1.34311,1.39758,0.5551,0.35901,0.37343,0.16524,2.14023,1.81641,1.64509,0.005248,0.005248,0.005248
50,35308.8,1.82618,1.34044,1.39537,0.676,0.31854,0.36906,0.16514,2.14046,1.82807,1.63781,0.005149,0.005149,0.005149
51,36057.8,1.8152,1.326,1.39052,0.54464,0.38417,0.41133,0.1923,2.05117,1.59564,1.56898,0.00505,0.00505,0.00505
52,36759.8,1.80188,1.29584,1.3739,0.53498,0.36417,0.40178,0.19529,1.9945,1.6613,1.52253,0.004951,0.004951,0.004951
53,37478.1,1.80433,1.30426,1.38001,0.55761,0.36696,0.39387,0.19311,1.96481,1.77441,1.52405,0.004852,0.004852,0.004852
54,38262.9,1.78649,1.28626,1.37324,0.55062,0.39756,0.41076,0.19459,2.00494,1.70115,1.52583,0.004753,0.004753,0.004753
55,1383.06,1.80029,1.29737,1.38213,0.50125,0.39332,0.40104,0.1887,2.08051,1.71238,1.57261,0.004654,0.004654,0.004654
56,2449.06,1.79485,1.30064,1.37455,0.41676,0.40607,0.41706,0.19865,2.07074,1.63195,1.56785,0.004555,0.004555,0.004555
57,3483.63,1.77761,1.27891,1.37463,0.55287,0.3759,0.40008,0.18454,2.07324,1.76362,1.55468,0.004456,0.004456,0.004456
58,4540.69,1.76616,1.25753,1.36085,0.57721,0.37195,0.40998,0.19786,2.01238,1.90098,1.53067,0.004357,0.004357,0.004357
59,5498.25,1.76251,1.26489,1.35993,0.71021,0.37784,0.42343,0.20512,2.01586,1.71042,1.52505,0.004258,0.004258,0.004258
60,6580.25,1.76765,1.24827,1.36176,0.55403,0.38038,0.42054,0.21045,2.00356,1.64379,1.52415,0.004159,0.004159,0.004159
61,7634.3,1.74346,1.23945,1.34684,0.48484,0.42536,0.43525,0.21596,2.01448,1.54465,1.56708,0.00406,0.00406,0.00406
62,8955.27,1.79427,1.2779,1.373,0.53716,0.3221,0.38809,0.19202,2.04957,1.59911,1.56024,0.003961,0.003961,0.003961
63,10111.8,1.73001,1.23235,1.33494,0.5686,0.38055,0.40345,0.19373,2.05269,1.60545,1.56501,0.003862,0.003862,0.003862
64,11192.1,1.73235,1.22208,1.34053,0.48129,0.34255,0.38295,0.18137,2.09298,1.69671,1.59364,0.003763,0.003763,0.003763
65,12079.1,1.73859,1.24245,1.34306,0.6256,0.37254,0.40627,0.197,2.01586,1.73145,1.54507,0.003664,0.003664,0.003664
66,996.48,1.69264,1.19105,1.3178,0.43039,0.42004,0.4058,0.19684,2.03474,1.55901,1.5363,0.003565,0.003565,0.003565
67,2059.37,1.68491,1.20092,1.31352,0.56655,0.36157,0.40243,0.19894,2.01533,1.58263,1.56086,0.003466,0.003466,0.003466
68,1444,1.5467,1.08944,1.25576,0.59674,0.37599,0.40669,0.19629,2.06487,1.63733,1.5735,0.003367,0.003367,0.003367
69,2828.96,1.53797,1.09133,1.25288,0.49342,0.41876,0.42656,0.20954,2.02965,1.52385,1.57471,0.003268,0.003268,0.003268
70,1030.23,1.41378,1.00055,1.19898,0.54983,0.38158,0.40742,0.1991,2.05401,1.65357,1.58983,0.003169,0.003169,0.003169
71,2038.91,1.43105,1.01764,1.2074,0.64557,0.38778,0.43071,0.20646,2.06522,1.54162,1.61134,0.00307,0.00307,0.00307
72,3059.67,1.68946,1.16085,1.32767,0.65092,0.39176,0.41941,0.19957,2.02663,1.54248,1.54545,0.002971,0.002971,0.002971
73,4026.6,1.66089,1.14603,1.30729,0.62796,0.40068,0.43052,0.20883,1.9644,1.53263,1.5085,0.002872,0.002872,0.002872
74,5022.92,1.65525,1.15002,1.30266,0.62749,0.41329,0.44039,0.20923,2.02926,1.53612,1.52765,0.002773,0.002773,0.002773
75,6021.88,1.65459,1.13678,1.30062,0.60159,0.38363,0.42248,0.20753,2.01175,1.60995,1.53997,0.002674,0.002674,0.002674
76,7303.22,1.6306,1.1298,1.2922,0.56508,0.41266,0.43598,0.21547,2.01962,1.51156,1.54743,0.002575,0.002575,0.002575
77,8622.89,1.67518,1.16201,1.31216,0.64402,0.37935,0.4196,0.20438,2.00602,1.55604,1.54177,0.002476,0.002476,0.002476
78,9938.06,1.61437,1.11839,1.27752,0.52548,0.42415,0.43137,0.20918,2.05098,1.4856,1.57125,0.002377,0.002377,0.002377
79,11229.6,1.61288,1.11326,1.28159,0.605,0.37557,0.41663,0.20048,2.07865,1.5039,1.60624,0.002278,0.002278,0.002278
80,12520.8,1.63439,1.13215,1.29333,0.61763,0.39216,0.40801,0.19554,2.04174,1.57539,1.57694,0.002179,0.002179,0.002179
81,13523.5,1.71776,1.1783,1.32532,0.59045,0.39159,0.42051,0.20536,2.05779,1.56941,1.54457,0.00208,0.00208,0.00208
82,14489,1.70515,1.18149,1.32761,0.5323,0.38849,0.39925,0.19754,2.05855,1.55208,1.55891,0.001981,0.001981,0.001981
83,15433.2,1.6979,1.16826,1.32144,0.46811,0.42396,0.41895,0.20635,2.00231,1.49305,1.52444,0.001882,0.001882,0.001882
84,16388.6,1.67636,1.14596,1.31225,0.53808,0.41541,0.42536,0.21445,1.99478,1.47488,1.52073,0.001783,0.001783,0.001783
85,17330.2,1.71465,1.18748,1.32831,0.58793,0.40602,0.42712,0.20991,1.9574,1.53371,1.51562,0.001684,0.001684,0.001684
86,18283.8,1.68186,1.15634,1.31359,0.66614,0.3703,0.43525,0.21277,1.94853,1.60907,1.5057,0.001585,0.001585,0.001585
87,19202.8,1.66956,1.13822,1.30332,0.61319,0.37669,0.4122,0.20287,2.01003,1.51697,1.51346,0.001486,0.001486,0.001486
88,20177.2,1.69351,1.1624,1.31422,0.56635,0.39021,0.42173,0.20723,2.00123,1.50314,1.51579,0.001387,0.001387,0.001387
89,21114.1,1.66762,1.15387,1.30861,0.54038,0.41476,0.42797,0.20944,1.99528,1.51546,1.51502,0.001288,0.001288,0.001288
90,22010.6,1.6554,1.12282,1.29613,0.55043,0.41136,0.43841,0.21486,1.97708,1.47806,1.5106,0.001189,0.001189,0.001189
91,1210.56,1.60982,1.04346,1.30041,0.77462,0.36579,0.42693,0.20239,2.00382,1.63485,1.5324,0.00109,0.00109,0.00109
92,1160.22,1.58776,1.0116,1.28617,0.58844,0.3877,0.42465,0.20479,1.98019,1.59067,1.50601,0.000991,0.000991,0.000991
93,2200.24,1.59062,1.01035,1.29003,0.60128,0.37874,0.42587,0.20888,1.98656,1.49312,1.51472,0.000892,0.000892,0.000892
94,3285.15,1.58531,1.00331,1.27788,0.71487,0.37709,0.43381,0.20892,1.99634,1.48953,1.5193,0.000793,0.000793,0.000793
95,4580.01,1.5954,1.00113,1.29251,0.73296,0.34514,0.43178,0.20896,1.99203,1.48615,1.52135,0.000694,0.000694,0.000694
96,5946.04,1.57012,0.9974,1.27341,0.7635,0.37218,0.43434,0.20952,2.00352,1.50896,1.52714,0.000595,0.000595,0.000595
97,6839.21,1.57136,0.98841,1.27662,0.61861,0.38478,0.43474,0.21164,1.97904,1.48354,1.51372,0.000496,0.000496,0.000496
98,7799.29,1.55957,0.97864,1.26926,0.66,0.38606,0.43765,0.21282,1.98456,1.49211,1.51447,0.000397,0.000397,0.000397
99,8744.42,1.56286,0.98091,1.27035,0.66481,0.38595,0.44042,0.2147,1.99934,1.4743,1.53107,0.000298,0.000298,0.000298
100,9620.18,1.55968,0.98325,1.26817,0.60948,0.39949,0.44605,0.21573,1.99627,1.44754,1.52445,0.000199,0.000199,0.000199


the store map in live monitoring and setting per camera must be the same
